"Story","Title","Result","Date","Stability","Duration (s)"
"Account page test","Acc logo test","SUCCESS","2021-02-08T19:40:36.702+05:30[Asia/Calcutta]","0.0","37.21"
"Account page test","Search test","SUCCESS","2021-02-08T19:41:15.1+05:30[Asia/Calcutta]","0.0","31.51"
"Contact us page test","Contact us page test","FAILURE","2021-02-08T19:41:49.524+05:30[Asia/Calcutta]","0.0","21.73"
"Login page test","App login test","SUCCESS","2021-02-08T19:42:13.065+05:30[Asia/Calcutta]","0.0","16.35"
