"Story","Title","Result","Date","Stability","Duration (s)"
"Account page test","Acc logo test","SUCCESS","2021-02-03T22:32:54.233+05:30[Asia/Calcutta]","0.0","20.47"
"Account page test","Search test","SUCCESS","2021-02-03T22:33:16.008+05:30[Asia/Calcutta]","0.0","25.67"
